N,EMG_0,EMG_1,EMG_2,EMG_3,EMG_4,EMG_5,EMG_6,EMG_7,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,VBAT
60,183579.0,112949.0,-60081.0,205565.0,311394.0,594962.0,210221.0,293939.0,36.0,-102.0,16580.0,-178.0,333.0,12.0,3649.0
61,183801.0,112993.0,-60018.0,205150.0,311347.0,594899.0,210082.0,293644.0,40.0,235.0,16138.0,-907.0,1618.0,-14.0,3649.0
62,184104.0,113343.0,-59919.0,205651.0,311879.0,595315.0,210236.0,293159.0,40.0,235.0,16138.0,-907.0,1618.0,-14.0,3649.0
63,184278.0,113857.0,-59535.0,206418.0,311974.0,595418.0,210436.0,293349.0,40.0,235.0,16138.0,-907.0,1618.0,-14.0,3649.0
64,184136.0,113686.0,-59604.0,206262.0,311623.0,595149.0,210124.0,293349.0,40.0,235.0,16138.0,-907.0,1618.0,-14.0,3649.0
65,183859.0,113406.0,-59714.0,206277.0,311962.0,595418.0,210067.0,293109.0,40.0,235.0,16138.0,-907.0,1618.0,-14.0,3649.0
66,183945.0,113611.0,-59573.0,206338.0,311951.0,595326.0,209911.0,292967.0,40.0,235.0,16138.0,-907.0,1618.0,-14.0,3649.0
67,184149.0,113741.0,-59421.0,206529.0,312122.0,595520.0,209886.0,292925.0,40.0,235.0,16138.0,-907.0,1618.0,-14.0,3649.0
68,184133.0,113829.0,-59466.0,206426.0,312054.0,595483.0,209830.0,292929.0,40.0,235.0,16138.0,-907.0,1618.0,-14.0,3649.0
69,184361.0,113462.0,-59856.0,206061.0,311727.0,595121.0,209649.0,293677.0,40.0,235.0,16138.0,-907.0,1618.0,-14.0,3649.0
70,184928.0,113302.0,-60129.0,205819.0,311488.0,594864.0,209440.0,293956.0,40.0,235.0,16138.0,-907.0,1618.0,-14.0,3649.0
71,184476.0,113523.0,-59795.0,206245.0,311941.0,595353.0,209642.0,293369.0,-525.0,434.0,16387.0,-1621.0,276.0,-344.0,3649.0
72,183861.0,113969.0,-59265.0,206806.0,312514.0,595961.0,210127.0,292880.0,-525.0,434.0,16387.0,-1621.0,276.0,-344.0,3649.0
73,183921.0,114413.0,-58891.0,207160.0,312829.0,596209.0,210154.0,293484.0,-525.0,434.0,16387.0,-1621.0,276.0,-344.0,3649.0
74,183936.0,114894.0,-58677.0,207258.0,312881.0,596224.0,209946.0,293288.0,-525.0,434.0,16387.0,-1621.0,276.0,-344.0,3649.0
75,183138.0,114978.0,-58357.0,207664.0,313363.0,596737.0,209814.0,291665.0,-525.0,434.0,16387.0,-1621.0,276.0,-344.0,3649.0
