Sample_num,Task_number,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,Timestamp,Video_timestamp,Angle_sample
176,0,152548,321486,527432,449705,479566,593453,14444,-359477,1636551622.3612947,1636551622.346181,3
177,0,151688,320584,526467,448638,478494,592664,12936,-360733,1636551622.3612976,1636551622.346181,3
178,0,151613,320501,526466,448693,478664,592894,13224,-360688,1636551622.3612978,1636551622.346181,3
179,0,152256,321142,527104,449316,479104,592766,14223,-359867,1636551622.3613005,1636551622.346181,3
180,0,152313,321186,527144,449415,479288,593191,14141,-359857,1636551622.3613007,1636551622.346181,3
181,0,152361,321236,527204,449491,479363,593293,14066,-359832,1636551622.3624396,1636551622.346181,3
182,0,152468,321428,527451,449780,479686,593657,14103,-359925,1636551622.362442,1636551622.346181,3
183,0,152294,321203,527141,449486,479376,593438,14249,-359785,1636551622.370386,1636551622.424291,4
184,0,152254,321137,527079,449441,479381,593474,14216,-359850,1636551622.374674,1636551622.424291,4
185,0,152204,321039,527043,449457,479534,593727,13946,-359891,1636551622.3746762,1636551622.424291,4
186,0,152148,320951,527024,449516,479661,593828,13908,-359934,1636551622.3792045,1636551622.424291,4
187,0,152160,320982,527061,449497,479533,593512,14365,-359876,1636551622.379207,1636551622.424291,4
188,0,152388,321286,527297,449588,479436,593509,13521,-359902,1636551622.3824215,1636551622.424291,4
189,0,152744,321753,527571,449563,479055,592836,14727,-359789,1636551622.382424,1636551622.424291,4
190,0,152614,321567,527491,449614,479254,593172,14328,-359864,1636551622,1636551622.424291,4
191,0,152553,321423,527328,449456,479288,593308,14174,-359935,1636551622.3863723,1636551622.424291,4
192,0,152508,321409,527419,449535,479306,593078,14083,-359900,1636551622.390586,1636551622.424291,4
193,0,152225,321159,527320,449544,479436,593514,14138,-360043,1636551622.390588,1636551622.424291,4
194,0,152334,321238,527344,449536,479404,593610,14171,-359989,1636551622.3943653,1636551622.424291,4
195,0,152498,321398,527376,449481,479263,593392,14106,-359951,1636551622.3943691,1636551622.424291,4
196,0,152529,321386,527343,449479,479261,593356,14089,-359941,1636551622.3993306,1636551622.424291,4
197,0,152315,321246,527397,449699,479551,593564,14186,-359992,1636551622.3993328,1636551622.424291,4
198,0,152549,321497,527549,449777,479587,593614,14238,-359891,1636551622.4084074,1636551622.424291,4
199,0,152724,321618,527503,449661,479485,593569,14098,-360032,1636551622.4084096,1636551622.424291,4
200,0,152911,321749,527479,449530,479274,593444,13674,-359964,1636551622.4084225,1636551622.424291,4
201,0,152660,321529,527534,449736,479493,593525,13764,-359919,1636551622.4084232,1636551622.424291,4
202,0,152066,321069,527251,449545,479384,593400,14514,-360210,1636551622.410352,1636551622.424291,4
203,0,152429,321478,527550,449746,479487,593536,14004,-360203,1636551622.4103563,1636551622.424291,4
